Title,Product,Material,Materiall: uom,Quantity
recipe_Egg Benedict,Egg Benedict,White Poolish Bread Medium,Pcs,13
recipe_Frenchy,Frenchy,Small Baguette Poolish,Pcs,1
recipe_Hollandaise Sauce,Hollandaise Sauce,Egg,Pcs,8
recipe_Hot Dog buns,Hot Dog buns,Egg,Pcs,1
recipe_Hot Dog sandwich,Hot Dog sandwich,Hot Dog buns,Pcs,1
recipe_Italian Panini,Italian Panini,Ciabatta,Pcs,1
recipe_Lemon cheesecake,Lemon cheesecake,Cake Cardboard Round,Pcs,1
recipe_Lemon cheesecake 24cm,Lemon cheesecake 24cm,Cake Box 25X25 Cm,Pcs,1
recipe_Lemon Cream,Lemon Cream,Egg,Pcs,6
recipe_Lemon Meringue Pie,Lemon Meringue Pie,Cake Cardboard Round,Pcs,1
recipe_Lemon Meringue Pie 16cm,Lemon Meringue Pie 16cm,Cake Cardboard 16 Cm,Pcs,1
recipe_Lemon Meringue Pie 16cm,Lemon Meringue Pie 16cm,Cake Box 16 Cm,Pcs,1
recipe_Lemon Meringue Pie 24cm,Lemon Meringue Pie 24cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Lemon Meringue Pie 24cm,Lemon Meringue Pie 24cm,Cake Box 25X25 Cm,Pcs,1
recipe_Madelaine,Madelaine,Egg,Pcs,134
recipe_Mayonnaise,Mayonnaise,Egg,Pcs,326
recipe_Meringue,Meringue,Egg,Pcs,20
recipe_Mini burger buns,Mini burger buns,Egg,Pcs,67
recipe_Mini choco almond,Mini choco almond,Mini Chocolatine Prod,Pcs,1
recipe_Mini Chocolatine,Mini Chocolatine,Mini Chocolatine Prod,Pcs,1
recipe_Mini Croissant,Mini Croissant,Mini Croissant Prod,Pcs,1
recipe_New york Roll Caramel,New york Roll Caramel,Box New York Roll,Pcs,1
recipe_New york Roll Chocolat,New york Roll Chocolat,Box New York Roll,Pcs,1
recipe_New york Roll pistaccio,New york Roll pistaccio,Box New York Roll,Pcs,1
recipe_New york Roll Strawberry,New york Roll Strawberry,Box New York Roll,Pcs,1
recipe_Omelette,Omelette,Egg,Pcs,3
recipe_Omelette,Omelette,French Fries,Pcs,2
recipe_Omelette,Omelette,White Poolish Bread Medium,Pcs,13
recipe_Opera,Opera,Pastry Cardboard Rectangle,Pcs,1
recipe_Opera Cake Big,Opera Cake Big,Cake Box 25X25 Cm,Pcs,1
recipe_Opera Cake Big,Opera Cake Big,Cake Cardboard 24 Cm,Pcs,1
recipe_Opera Cake Small,Opera Cake Small,Cake Cardboard 24 Cm,Pcs,1
recipe_Opera Cake Small,Opera Cake Small,Cake Box 25X25 Cm,Pcs,1
recipe_Panini 3 cheese,Panini 3 cheese,Ciabatta,Pcs,1
recipe_Paris-Brest,Paris-Brest,Pastry Cardboard Rectangle,Pcs,1
recipe_Pastry Cream,Pastry Cream,Egg,Pcs,236
recipe_Quiche Dough,Quiche Dough,Egg,Pcs,2
recipe_Quiche Mix,Quiche Mix,Egg,Pcs,748
recipe_Salade Special,Salade Special,Egg,Pcs,1
recipe_Smoky Fish,Smoky Fish,Bagels,Pcs,1
recipe_Sponge Cake,Sponge Cake,Egg,Pcs,10
recipe_Strawberry Cheesecake,Strawberry Cheesecake,Cake Cardboard Round,Pcs,1
recipe_Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Small 16cm,Cake Box 16 Cm,Pcs,1
recipe_Strawberry Cheesecake Small 16cm,Strawberry Cheesecake Small 16cm,Cake Cardboard 16 Cm,Pcs,1
recipe_Strawberry Cheesecakes Big 24cm,Strawberry Cheesecakes Big 24cm,Cake Box 25X25 Cm,Pcs,1
recipe_Strawberry Cheesecakes Big 24cm,Strawberry Cheesecakes Big 24cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Sugar Dough,Sugar Dough,Egg,Pcs,24
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tea,Tea,Tea Bag,Pcs,1
recipe_Tropical Fruit Cake,Tropical Fruit Cake,Cake Cardboard Round,Pcs,1
recipe_Tropical Fruit Cake 16cm,,Cake Cardboard 16 Cm,Pcs,1
recipe_Tropical Fruit Cake 16cm,,Cake Box 16 Cm,Pcs,1
recipe_Tropical Fruit Cake 24cm,,Cake Box 25X25 Cm,Pcs,1
recipe_Tropical Fruit Cake 24cm,,Cake Cardboard 24 Cm,Pcs,1
recipe_Vegetarian Bagel,Vegetarian Bagel,Bagels,Pcs,1
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,Egg,Pcs,1
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,Small Baguette Poolish,Pcs,1
recipe_Chocolatine,Chocolatine,Chocolatine Prod,Pcs,1
recipe_Chocolatine Almond,Chocolatine Almond,Chocolatine Prod,Pcs,1
recipe_Lemon cheesecake 24cm,Lemon cheesecake 24cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Madelaine,Madelaine,Salt,Gr,3
recipe_Mini Almond Croissant,Mini Almond Croissant,Mini Croissant Prod,Pcs,1
recipe_Vegetarian Bagel,Vegetarian Bagel,Egg,Pcs,1
