Title,Product,Material,Materiall: uom,Quantity
recipe_Sugar Dough,Sugar Dough,White Flour,Gr,482
recipe_Sugar Dough,Sugar Dough,Mix Butter,Gr,241
recipe_Sugar Dough,Sugar Dough,Ice Sugar,Gr,157
recipe_Toast Bread,Toast Bread,White Flour,Gr,650
recipe_Toast Bread,Toast Bread,Mix Butter,Gr,39
recipe_Toast Bread,Toast Bread,Salt,Gr,13
recipe_Toast Bread,Toast Bread,White Sugar,Gr,26
recipe_Toast Bread,Toast Bread,Yeast,Gr,10
recipe_Tropical Fruit Cake,Tropical Fruit Cake,Coconut Biscuit,Gr,32
recipe_Tropical Fruit Cake,Tropical Fruit Cake,Coconut Cream,Gr,38
recipe_Tropical Fruit Cake,Tropical Fruit Cake,Passion Fruit Filling,Gr,17
recipe_Tropical Fruit Cake,Tropical Fruit Cake,Passion Fruit Cream,Gr,36
recipe_Tropical Fruit Cake 16cm,,Coconut Biscuit,Gr,130
recipe_Tropical Fruit Cake 16cm,,Passion Fruit Filling,Gr,100
recipe_Tropical Fruit Cake 16cm,,Coconut Cream,Gr,152
recipe_Tropical Fruit Cake 16cm,,Passion Fruit Cream,Gr,145
recipe_Tropical Fruit Cake 24cm,,Coconut Biscuit,Gr,260
recipe_Tropical Fruit Cake 24cm,,Passion Fruit Filling,Gr,200
recipe_Tropical Fruit Cake 24cm,,Coconut Cream,Gr,305
recipe_Tropical Fruit Cake 24cm,,Passion Fruit Cream,Gr,290
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vanilla Latte,Vanilla Latte,Coffee bean,Gr,18
recipe_Vegetarian Bagel,Vegetarian Bagel,LETTUCE,Gr,20
recipe_Vegetarian Bagel,Vegetarian Bagel,TOMATO,Gr,20
recipe_Vegetarian Bagel,Vegetarian Bagel,CUCUMBER,Gr,25
recipe_Vegetarian Bagel,Vegetarian Bagel,Capsicum Marinated,Gr,20
recipe_Vegetarian Bagel,Vegetarian Bagel,Aioli Sauce,Gr,30
recipe_Vegetarian Bagel,Vegetarian Bagel,RED ONION,Gr,15
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,CUCUMBER,Gr,30
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,LETTUCE,Gr,30
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,Parmesan,Gr,10
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,Capsicum Marinated,Gr,25
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,Aioli Sauce,Gr,35
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,TOMATO,Gr,30
recipe_Vegetarian Baguette Sandwich,Vegetarian Baguette Sandwich,RED ONION,Gr,20
recipe_Vegetarian Quiche,Vegetarian Quiche,Quiche Dough,Gr,555
recipe_Vegetarian Quiche,Vegetarian Quiche,Quiche Mix,Gr,60
recipe_Vegetarian Quiche,Vegetarian Quiche,Caramelized Onion,Gr,15
recipe_Vegetarian Quiche,Vegetarian Quiche,Mozarella Cheese,Gr,15
recipe_White Poolish Bread Medium,White Poolish Bread Medium,Poolish Starter,Gr,354
recipe_White Poolish Bread Medium,White Poolish Bread Medium,White Flour,Gr,150
recipe_White Poolish Bread Medium,White Poolish Bread Medium,Sourdough Starter Liquid,Gr,88
recipe_White Poolish Bread Medium,White Poolish Bread Medium,Salt,Gr,7
recipe_White Poolish Bread Medium,White Poolish Bread Medium,Yeast,Gr,33
recipe_White poolish small,White poolish small,Poolish Starter,Gr,236
recipe_White poolish small,White poolish small,White Flour,Gr,100
recipe_White poolish small,White poolish small,Sourdough Starter Liquid,Gr,59
recipe_White poolish small,White poolish small,Salt,Gr,5
recipe_White poolish small,White poolish small,Yeast,Gr,14
recipe_White sourdough medium,White sourdough medium,White Flour,Gr,275
recipe_White sourdough medium,White sourdough medium,Salt,Gr,8
recipe_White sourdough medium,White sourdough medium,Sourdough Starter Hard,Gr,83
recipe_White sourdough medium,White sourdough medium,Sourdough Starter Liquid,Gr,83
recipe_White sourdough medium,White sourdough medium,Yeast,Gr,33
recipe_White Sourdough Small,White Sourdough Small,White Flour,Gr,183
recipe_White Sourdough Small,White Sourdough Small,Salt,Gr,6
recipe_White Sourdough Small,White Sourdough Small,Sourdough Starter Hard,Gr,55
recipe_White Sourdough Small,White Sourdough Small,Sourdough Starter Liquid,Gr,55
recipe_White Sourdough Small,White Sourdough Small,Yeast,Gr,14
recipe_Zucchini Pickles,Zucchini Pickles,ONION,Gr,405
recipe_Zucchini Pickles,Zucchini Pickles,ZUCCHINI,Gr,476
recipe_Zucchini Pickles,Zucchini Pickles,Curry Powder,Gr,5
recipe_Aioli Sauce,Aioli Sauce,Olive Oil,Ml,83
recipe_American Bagel,American Bagel,Bbq Sauce,Ml,35
recipe_Asian Pickles,Asian Pickles,Vinegar,Ml,100
recipe_Asian Pickles,Asian Pickles,Water,Ml,500
recipe_Bagels,Bagels,Milk (Uht),Ml,12
recipe_Bagels,Bagels,Olive Oil,Ml,2
recipe_Bagels,Bagels,Water,Ml,404
recipe_Baguette 280gr,Baguette 280gr,Water,Ml,124
recipe_Bechamel Sauce,Bechamel Sauce,Milk (Uht),Ml,833
recipe_Breakery Sauce,Breakery Sauce,Bbq Sauce,Ml,75
recipe_Breakery Sauce,Breakery Sauce,Vinegar,Ml,5
recipe_Brown Bread,Brown Bread,Water,Ml,"21,667"
recipe_Burger,Burger,Bbq Sauce,Ml,30
recipe_Burger Buns,Burger Buns,Milk (Uht),Ml,172
recipe_Burger Buns,Burger Buns,Water,Ml,172
recipe_Capsicum Marinated,Capsicum Marinated,Olive Oil,Ml,129
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Capuccino,Capuccino,Oat Milk,Ml,200
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Capuccino,Capuccino,Oat Milk,Ml,200
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Caramel Cream,Caramel Cream,Whipping Cream,Ml,400
recipe_Caramel Latte,Caramel Latte,Fresh Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramel Latte,Caramel Latte,Fresh Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramel Latte,Caramel Latte,Oat Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramel Latte,Caramel Latte,Fresh Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Fresh Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramel Latte,Caramel Latte,Oat Milk,Ml,200
recipe_Caramel Latte,Caramel Latte,Syrup Caramel,Ml,30
recipe_Caramelized Onion,Caramelized Onion,Olive Oil,Ml,19
recipe_Chantilly,Chantilly,Whipping Cream,Ml,680
recipe_Chicken Banh Mi Marinated,Chicken Banh Mi Marinated,Sweet Soya Sauce,Ml,100
recipe_Chicken Banh Mi Marinated,Chicken Banh Mi Marinated,Fish Sauce,Ml,100
recipe_Chicken Banh Mi Marinated,Chicken Banh Mi Marinated,Olive Oil,Ml,100
recipe_Chicken Banh Mi Marinated,Chicken Banh Mi Marinated,Soya sauce,Ml,100
recipe_Chicken Curry,Chicken Curry,Coconut Milk,Ml,325
recipe_Chicken Curry,Chicken Curry,Water,Ml,8
recipe_Chocolat Ganache,Chocolat Ganache,Whipping Cream,Ml,667
recipe_Chocolat Pie Mix,Chocolat Pie Mix,Whipping Cream,Ml,278
recipe_Chocolat Pie Mix,Chocolat Pie Mix,Milk (Uht),Ml,278
recipe_Chocolate latte,Chocolate latte,Fresh Milk,Ml,200
recipe_Chocolate latte,Chocolate latte,Fresh Milk,Ml,200
recipe_Chocolate latte,Chocolate latte,Oat Milk,Ml,200
recipe_Chocolate latte,Chocolate latte,Fresh Milk,Ml,200
recipe_Chocolate latte,Chocolate latte,Fresh Milk,Ml,200
recipe_Chocolate latte,Chocolate latte,Oat Milk,Ml,200
